category_id,category_name,playlist_id,playlist_name
0JQ5DAqbMKFNQ0fGp4byGU,Afro,37i9dQZF1DWT6SJaitNDax,Big Mood
0JQ5DAqbMKFNQ0fGp4byGU,Afro,37i9dQZF1DWUS3jbm4YExP,Global Groove
0JQ5DAqbMKFNQ0fGp4byGU,Afro,37i9dQZF1DWSjibQnF0bUk,Afro Party Anthems
0JQ5DAqbMKFSCjnQr8QZ3O,Songwriters,37i9dQZF1DX1dd5WKvvHTC,Noteable
0JQ5DAqbMKFSCjnQr8QZ3O,Songwriters,37i9dQZF1EFGHODOCcCxrj,Written By Danny L Harle
0JQ5DAqbMKFSCjnQr8QZ3O,Songwriters,37i9dQZF1EFEV4d0s2cp9N,Written By BLVSH
0JQ5DAqbMKFSCjnQr8QZ3O,Songwriters,37i9dQZF1EFC2wbN3v6RhP,Written By Taylor Swift
0JQ5DAqbMKFSCjnQr8QZ3O,Songwriters,37i9dQZF1EFyqhBuzEZK8S,Written By Jack Antonoff
0JQ5DAqbMKFFsW9N8maB6z,Funk & Disco,37i9dQZF1DWUS3jbm4YExP,Global Groove
0JQ5DAqbMKFFsW9N8maB6z,Funk & Disco,37i9dQZF1DX70TzPK5buVf,Funk Outta Here
0JQ5DAqbMKFFsW9N8maB6z,Funk & Disco,37i9dQZF1DXdJyxIBq7Xdy,Queens of Disco
0JQ5DAqbMKFFsW9N8maB6z,Funk & Disco,37i9dQZF1DX9stbPFTxeaB,Funky Heavy Bluesy
0JQ5DAqbMKFFsW9N8maB6z,Funk & Disco,37i9dQZF1DXbjGYBfEmjR5,Future Funk
